id,conversation_id,created_at,date,time,user_id,username,language,hashtags,cashtags,retweet,geo
1.50272E+18,1.50272E+18,2022-03-12 13:48:09 Eastern Standard Time,3/12/2022,13:48:09,283724636,ryanfieldabc,en,['lgm'],[],FALSE,"40.7128,-74.0060,50km"
1.50961E+18,1.50961E+18,2022-03-31 15:07:58 Eastern Daylight Time,3/31/2022,15:07:58,283724636,ryanfieldabc,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50817E+18,1.50817E+18,2022-03-27 15:44:30 Eastern Daylight Time,3/27/2022,15:44:30,47439306,s_tephie_a,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50957E+18,1.50957E+18,2022-03-31 12:33:55 Eastern Daylight Time,3/31/2022,12:33:55,372350619,sadamsr2p,en,"['ukraine', 'syria', 'myanmar', 'cameroon', 'ethiopia']",[],FALSE,"40.7128,-74.0060,50km"
1.50959E+18,1.50959E+18,2022-03-31 13:57:21 Eastern Daylight Time,3/31/2022,13:57:21,1.25552E+18,sadarlo1,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50962E+18,1.50956E+18,2022-03-31 15:54:55 Eastern Daylight Time,3/31/2022,15:54:55,1642217563,salty_armpit,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50783E+18,1.50783E+18,2022-03-26 17:01:53 Eastern Daylight Time,3/26/2022,17:01:53,14278748,sarahmas,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50719E+18,1.50719E+18,2022-03-24 22:46:18 Eastern Daylight Time,3/24/2022,22:46:18,1959452922,schaundax,en,['thelostcity'],[],FALSE,"41.8781,-87.6298,50km"
1.49992E+18,1.49992E+18,2022-03-04 20:18:07 Eastern Standard Time,3/4/2022,20:18:07,329430303,schneiderjt38,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.49877E+18,1.49877E+18,2022-03-01 16:34:05 Eastern Standard Time,3/1/2022,16:34:05,1.42531E+18,scottworden76,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.4988E+18,1.4988E+18,2022-03-01 18:06:36 Eastern Standard Time,3/1/2022,18:06:36,1.42531E+18,scottworden76,en,"['firemanfred', 'openingday', 'signthepetition', 'mlb', 'mlbpa']",[],FALSE,"34.0522,-118.2437,50km"
1.50956E+18,1.50914E+18,2022-03-31 11:48:38 Eastern Daylight Time,3/31/2022,11:48:38,47479536,seanolive,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50288E+18,1.50288E+18,2022-03-13 00:26:03 Eastern Standard Time,3/13/2022,0:26:03,341519708,seanorleans,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50778E+18,1.50778E+18,2022-03-26 13:53:48 Eastern Daylight Time,3/26/2022,13:53:48,341519708,seanorleans,en,[],[],FALSE,"38.6270,-90.1994,50km"
